State,AC,CDD_mean
Alabama,0.94,2003.0
Arizona,0.94,3509.0
Arkansas,0.93,1624.0
California,0.72,1205.0
Colorado,0.82,443.0
Connecticut,0.9,770.0
Delaware,0.97,1264.0
Florida,0.96,4085.0
Georgia,0.95,1807.0
Idaho,0.81,473.0
Illinois,0.96,954.0
Indiana,0.94,915.0
Iowa,0.97,882.0
Kansas,0.93,1394.0
Kentucky,0.95,1208.0
Louisiana,0.93,2846.0
Maine,0.7,310.0
Maryland,0.91,1253.0
Massachusetts,0.87,701.0
Michigan,0.87,706.0
Minnesota,0.94,555.0
Mississippi,0.93,2258.0
Missouri,0.95,1225.0
Montana,0.65,202.0
Nebraska,0.95,1092.0
Nevada,0.92,2455.0
New Hampshire,0.78,412.0
New Jersey,0.96,1019.0
New Mexico,0.85,1240.0
New York,0.88,762.0
North Carolina,0.91,1483.0
North Dakota,0.93,535.0
Ohio,0.94,869.0
Oklahoma,0.96,1788.0
Oregon,0.76,259.0
Pennsylvania,0.91,836.0
Rhode Island,0.9,760.0
South Carolina,0.95,1971.0
South Dakota,0.92,789.0
Tennessee,0.93,1391.0
Texas,0.95,2941.0
Utah,0.92,633.0
Vermont,0.67,332.0
Virginia,0.95,1206.0
Washington,0.53,181.0
West Virginia,0.89,865.0
Wisconsin,0.92,605.0
Wyoming,0.71,347.0
